Grepit test;Number of results;Used args for grep;Regex used;Grepit comment;
Grepit test;Number of results;Used args for grep;Regex used;Grepit comment;
3_mil_backdoor;6;-i;fieldop|milops#2025|/etc/init.d/.remote_init|remote shell|nc[\s-]+l[\s-]+p[\s0-9]+[\s-]+e[\s-]+/bin/sh|reboot -f|back.{0,20}door|Actuating flaps|EMERGENCY OVERRIDE;Drone/MIL backdoor trigger keywords;
3_mil_glibc_version;10;-i;GLIBC_([0-9]+\.[0-9]+);glibc version pattern;
3_mil_libc_version;10;-i;(?i)libc[ _-]?v?([0-9]+\.[0-9]+);libc version pattern;
2_general_gps_coordinates;5;-i;(\d{1,3}\.\d+,\s*\d{1,3}\.\d+|\d{1,3}\s*\.\s*\d{1,3}\s*\.\s*\d{1,3}\s*\.\s*\d{1,3});gps_coordinates;
2_general_sensitive_files;11;-i;(/etc/passwd|/var/log/|/root/|/home/[^/]+/|/tmp/|/dev/null|/proc/self/cwd|/proc/self/exe|/proc/self/fd/\d+);sensitive_files;
2_general_gnss_telemetry;5;-i;(?i)\b(GNSS|GPS|GLONASS|Galileo|BeiDou|QZSS)\b;gnss_telemetry;
2_defense_rf_rx_behavior;2;-i;((while|for)\s*\(\s*(1|;;)\s*\)\s*\{[^}]*\b(freq|rx|listen|bind|tune|start|read_samples|process_samples)[^\n]*\})|((freq|frequency)[^a-zA-Z0-9]*[0-9]{3,6}(\.[0-9]+)?\s*(Hz|kHz|MHz|GHz))|(rtl_fm|uhd_rx|rx_samples_continuous|gnuradio.*receive);rf_rx_behavior;
2_defense_gps_country_logic;12;-i;(?i)(iran|china|india|pakistan|north[_\- ]?korea|russia|afghanistan|kashmir|israel|us[a]?);gps_country_trigger;
2_defense_gps_region_trigger;2;-i;(?i)(if\s*\(\s*lat\s*>\s*[0-9]{1,3}\.[0-9]+\s*\)|if\s*\(\s*lon\s*<\s*[0-9]{1,3}\.[0-9]+\s*\)|if\s*\(\s*lat\s*==\s*[0-9]{1,3}\.[0-9]+\s*\)\s*\{[^}]*\b(gps|geofence|region|zone)[^\n]*\});gps_region_trigger;
2_defense_gps_control_logic;2;-i;(?i)(if\s*\(\s*gps\s*==\s*true\s*\)\s*\{[^}]*\b(gps|geofence|region|zone)[^\n]*\})|(\b(gps|geofence|region|zone)\s*=\s*true\s*;);gps_control_logic;
2_defense_continuous_transmit;4;-i;((while|for)\s*\(\s*(1|;;)\s*\)[^\n]*\{[^\}]{0,200}?(tx|send|transmit|write|uhd_tx|send_samples|uplink|push_packet|sdr_tx|satcom)[^\n;]*[;\}])|((tx_freq|tx_rate|uplink_freq|uhf_freq)[^a-zA-Z0-9]{0,5}[0-9]{3,10}(\.[0-9]+)?\s*(Hz|MHz|GHz));continuous_transmit;
